listing_id,"""name""",host_id,host_is_superhost (Star),host_identity_verified (Tick),"""neighbourhood""","""city""","""latitude""","""longitude""","""property_type""","""room_type""",accommodates,bedrooms,"""amenities""",price,review_scores_rating,review_scores_value,instant_bookable
281420,"""Beautiful Flat in le Village Montmartre, Paris""",1466919,f,f,"""Buttes-Montmartre""",Paris,48.88668,2.33343,Entire apartment,Entire place,2,1,"""[""Heating"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]""",0,100,10,f
4082273,"""Lovely apartment with Terrace, 60m2""",19252768,f,f,"""Elysee""",Paris,48.88112,2.31712,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]""",0,100,10,f
4797344,"""Cosy studio (close to Eiffel tower)""",10668311,f,t,"""Vaugirard""",Paris,48.84571,2.30584,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Kitchen"", ""Wifi"", ""Long term stays allowed""]""",0,100,10,f
4823489,"""Close to Eiffel Tower - Beautiful flat 2 rooms""",24837558,f,f,"""Passy""",Paris,48.855,2.26979,Entire apartment,"Entire place""",2,1,"""[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Bathtub"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]""",0,100,10,f
4898654,"""NEW - Charming apartment Le Marais""",505535,f,t,"""Temple""",Paris,48.86428,2.3537,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]""",0,100,10,f
6021700,"""2P - Entre Bastille et Republique""",8053690,f,t,"""Popincourt""",Paris,48.86384,2.37101,Entire apartment,Entire place,2,1,"""[""Shampoo"", ""TV"", ""Kitchen"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Fire extinguisher"", ""Long term stays allowed""]""",0,100,10,f
6945740,"""57sqm btw. Bastille and PAEFAre Lachaise""",5924709,f,t,"""Popincourt""",Paris,48.86043,2.37842,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]""",0,100,10,f
7491966,"""Charming appartment near the Parc Buttes Chaumont""",35812762,f,t,"""Buttes-Chaumont""",Paris,48.87871,2.37489,Entire apartment,Entire place,2,1,"""[""Paid parking off premises"", ""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Cable TV""]""",0,100,10,f
7849932,"""Bel appartement plein de charme""",20833291,f,t,"""Opera""",Paris,48.8779,2.33122,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]""",0,100,10,f
7995091,"Beau 2piAEFAces prAEFAs Butte aux cailles""",35014275,f,t,"""Gobelins""",Paris,48.82296,2.34667,Entire apartment,Entire place,2,1,"""[""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]""",0,100,10,f
9011901,"""Cosy appartement in marais 40m2""",19939276,f,t,"""Hotel-de-Ville""",Paris,48.85681,2.35678,Entire apartment,Entire place,2,1,"""[""Shampoo"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]""",0,100,10,f
9880847,"""Cosy Flat near Rue Mouffetard""",18264466,f,f,"""Pantheon""",Paris,48.83855,2.35064,Entire apartment,Entire place,2,1,"""[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]""",0,100,10,f
9898855,"""Grand 2pi de 60 m2 cosy au canal Saint Martin""",10121410,f,t,"""Enclos-St-Laurent""",Paris,48.87437,2.36208,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]""",0,100,10,f
10266213,"""Studio pour deux, place de clichy""",52785202,f,t,"""Elysee""",Paris,48.88074,2.32384,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]""",0,100,10,f
11643413,"""Luminous and very cosy flat in Paris""",17192399,f,f,"""Popincourt""",Paris,48.87064,2.37499,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]""",0,100,10,f
11764434,"""2pi baignees de soleil """,28504056,f,t,"""Batignolles-Monceau""",Paris,48.88423,2.31339,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]""",0,100,10,f
11963112,"""Appartement au coeur de Bastille""",63894099,f,f,"""Popincourt""",Paris,48.85434,2.37293,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]""",0,100,10,f
11985909,"""2 rooms Canal St Martin Republique""",6056099,f,t,"""Enclos-St-Laurent""",Paris,48.8734,2.36972,Entire apartment,Entire place,2,1,"""[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace""]""",0,100,10,f
12331902,"""Calm 1 Bedroom""",23193463,f,t,"""Gobelins""",Paris,48.83767,2.35554,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]""",0,100,10,f
12723768,"""Two rooms flat near Champs Elysees""",16159360,f,f,"""Batignolles-Monceau""",Paris,48.88389,2.29211,Entire apartment,Entire place,2,1,"""[""Heating"", ""Iron"", ""Indoor fireplace"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]""",0,100,10,f
13013700,"""40m2 lovely parisien flat - southpi""",4177948,f,t,"""Opera""",Paris,48.87842,2.33371,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]""",0,100,10,f
13135280,"""Duplex flat in central Paris overlooking a garden""",20256520,f,t,"""Opera""",Paris,48.87833,2.33197,Entire apartment,Entire place,2,1,"""[""TV"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Kitchen"", ""Cable TV"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]""",0,100,10,f
13147280,"""Grand 2pi Montparnasse proche St-Germain""",4674253,f,t,"""Luxembourg""",Paris,48.84477,2.32525,Entire apartment,Entire place,2,1,"""[""Washer"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV""]""",0,100,10,f
13182340,"""Typical Parisian flat with balcony - rooftop view""",11058384,f,t,"""Temple""",Paris,48.86875,2.35471,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Cable TV"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Breakfast""]""",0,100,10,f
13331656,"""Comfortable studio flat near Place de la Nation""",10093004,f,f,"""Reuilly""",Paris,48.84614,2.40083,Entire apartment,Entire place,2,1,"""[""Shampoo"", ""Heating"", ""Washer"", ""Dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]""",0,100,10,f
